Role,Text
Facilitator,what do we need here did you do the 
Facilitator,si  because its fun  is really fun
Facilitator,somebody is saying that this computer is turning off
Facilitator,its not on did you guys connect the cable right no no im not doing it you guys check wheres the cable
Facilitator,we need the hdmi
Facilitator,right check the hdmi  you almost done power power
Facilitator,and also  no no give it to them they need to do it
Facilitator,you see what is going on tell me what is this what are these connected to so you connect you you the raspberry pi is connected to the keyboard and the mouse and then what is this the power right do we see any connection between the raspberry pi and this thats what it is right were missing it
Facilitator,no its okay im just helping you guys think about what is going on
Facilitator,awesome yay hi issac
Facilitator,do you have any of these ones
Facilitator,whats up
Facilitator,oh you play fortnite what do you play it on
Facilitator,alright my brother my cousin they want me to get it cause they play against pc players
Facilitator, i have a playstation 4 but my brother has a pc and my cousin has a playstation 4
Facilitator,yeah what is free the game is free
Facilitator,i thought that you had to buy it
Facilitator,i didnt know that wow
Facilitator,ill get it then give me your player id or whatever so we can play together my cousin wins a lot
Facilitator,he does he is always posting
Facilitator,huh
Facilitator, i mean its you gotta choose hard i guess i dont know i dont know how to  but i have a thats cool i didnt know that cause i also have an xbox one hahah
Facilitator,yeah haha but i dont have a pc 
Facilitator,yeah well i didnt know that i thought that you had to pay that fift uh ten bucks or forty bucks i dont know twenty or
Facilitator,i dont care cool i didnt know that dude thank you for telling me my brother didnt tell me that he was like get it and i was like i dont wanna buy it
Facilitator,no he just told me to get it im like okay like ive been playing like call of duty well i only play matches sometimes tu juegas videojuegos matias
Facilitator,which ones
Facilitator,oh okay 
Facilitator,you only play on the pone
Facilitator,okay and what type of pone do you have
Facilitator,oh okay no juegas clash of clans no you dont play clash of clans no
Facilitator,i like it cause its easy its really easy actually all i have to do is post something to build and then forget about it and then you come back and thats it and then when you need money you just kill someone you attack someone
Facilitator,and then you get a bunch of rupees
Facilitator,they are called town holds but yeah
Facilitator,they are like castles so the bigger the level in the castle the uh the more things eh the more like you can upgrade
Facilitator,yeah
Facilitator,i know i mean i saw a lot of people i saw a really funny video online that like this guy is all killing everybody and then he is like building stuff around him to protect himself at the end and then he builds himself on a bush and then like he steps onto the bush and then it happened to be someone and he killed him and he lost and he was like being really good and because of someone because he built a house inside this bush he lost because of that
Facilitator,oh really so you can shoot the bushes so you can discover people i guess
Facilitator,when you shoot does does it show your location or what
Facilitator,no no no if you are around like walking around and you happen to shoot will it will it show to the people that are around or what
Facilitator,yeah give me a second i have to use uh 
Facilitator,matias you have to be more interested on the topic you are falling asleep and thinking of other things and you wake up when you see that
Facilitator,mhm
Facilitator,yes it says it itself
Facilitator,make things easy
Facilitator,okay lets see lets do three point three because it goes before like the spice and all that lets see where you say
Facilitator,i like the hree point two
Facilitator,yes lets see what it says there
Facilitator,we did this one already
Facilitator,three point three lets start with that one
Facilitator,lets see it says that moving the aolme spray with idol okay so tris one this program is the one that we will use first this mainly for to make the video that we will do programming it so we will get used to this lets see lets see
Facilitator,book two python idol to open python to open idol click ion python idol okay its a program i dont see it though
Facilitator,where is it
Facilitator,okay so its on the last page of open idol
Facilitator,yeah but are we using
Facilitator,yeah so if you are on open three three open idol
